feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X6.Carboxyhexanoate_159.1	Faith_pd	Faith_pd	0.592146993218791	0.080721774221669	249	249	5.15411545772773e-11	6.33956201300511e-08
Glutarylcarnitine_276.1	Faith_pd	Faith_pd	1.24537097874581	0.171782817271084	249	160	1.19741034081476e-10	7.36407359601079e-08
L.Dopa_198.1	Faith_pd	Faith_pd	0.454855698400867	0.0681694537660415	249	245	5.19782005175724e-10	1.59832966591535e-07
Ophthalmate_290.1	Faith_pd	Faith_pd	0.902243638360615	0.132986331838702	249	220	3.91155469626373e-10	1.59832966591535e-07
all.cis.4.7.10.13.16.Docosapentaenoic.acid_329.2	Faith_pd	Faith_pd	-1.21799659442529	0.183536330899591	249	136	8.66225705880949e-10	2.13091523646713e-07
Dimethylarginine_203.2	Faith_pd	Faith_pd	-0.763272606457297	0.121912835366832	249	248	3.13712307977405e-09	6.43110231353681e-07
Cortisone_359.2	Faith_pd	Faith_pd	0.620788571700934	0.103463473013536	249	85	4.31703175816463e-08	7.58564151791785e-06
N.Acetylputrescine_131.1	Faith_pd	Faith_pd	-1.17067707477131	0.207845971968005	249	249	8.68334112661363e-08	1.26663473058231e-05
Stearic.acid_283.3	Faith_pd	Faith_pd	0.499760807501633	0.0857370009810855	249	249	9.26805900426079e-08	1.26663473058231e-05
Arachidonic.acid_303.2	Faith_pd	Faith_pd	-0.696882095614904	0.124655281816079	249	226	1.48479784393367e-07	1.82630134803841e-05
Oxoglutarate_145	Faith_pd	Faith_pd	0.711384041714341	0.12304088796635	249	249	2.10108864524766e-07	2.3493991215042e-05
Adipate_145.1	Faith_pd	Faith_pd	0.497172747159999	0.0910469349985771	249	249	2.49885803617231e-07	2.56132948707662e-05
Cholate_407.3	Faith_pd	Faith_pd	-1.16334120093873	0.215681708053128	249	243	3.33119296248236e-07	3.15182103373331e-05
Buthionine.sulfoximine_223.1	Faith_pd	Faith_pd	0.341982019025394	0.0649963475166015	249	249	5.1278026244969e-07	4.50514087723656e-05
Methyglutarate_145.1	Faith_pd	Faith_pd	0.325249732986657	0.064066916553217	249	249	1.04938960827734e-06	8.60499478787418e-05
Biotin_245.1	Faith_pd	Faith_pd	0.411237431219987	0.0807986867763906	249	249	1.39240675050648e-06	0.000107041268945186
Dopamine_154.1	Faith_pd	Faith_pd	0.367972355302708	0.0720413346502606	249	249	1.49162736775465e-06	0.000107923627196366
Benzyl.Alcohol_107.1	Faith_pd	Faith_pd	0.961285595173162	0.193522324968848	249	222	1.62979597291777e-06	0.000111369391482714
X2.Deoxy.D.Glucose_163.1	Faith_pd	Faith_pd	-0.485188130394357	0.0998658860406174	249	249	3.40550952937225e-06	0.00022046193269094
Hexanoic.acid_115.1	Faith_pd	Faith_pd	0.463008160856488	0.0981373187674002	249	249	4.62855941464408e-06	0.000278245062400599
Quinolinate_166	Faith_pd	Faith_pd	0.320095296282648	0.0678645975792622	249	249	4.75052545561999e-06	0.000278245062400599
Tryptophan_205.1	Faith_pd	Faith_pd	-0.444519034617238	0.0960514329472621	249	249	7.52779109734766e-06	0.000420871956806256
Salsolinol_180.1	Faith_pd	Faith_pd	0.41137056437254	0.0881229558333016	249	248	8.63936185254015e-06	0.000462018046896712
Xanthurenate_206	Faith_pd	Faith_pd	0.711539068653203	0.15339241217584	249	238	9.21280841743321e-06	0.000472156431393452
Creatine_130.1	Faith_pd	Faith_pd	-0.904788703966349	0.202081225949313	249	245	1.37482103788665e-05	0.000650396106384836
Trimethyllysine_189.2	Faith_pd	Faith_pd	-0.597148636535748	0.133340086011506	249	249	1.37378113969247e-05	0.000650396106384836
Kynurenate_188	Faith_pd	Faith_pd	0.520571875808903	0.116452573155985	249	241	1.52098362571245e-05	0.000692892540602337
Azelate_187.1	Faith_pd	Faith_pd	0.271218684290221	0.0604297595294669	249	249	1.70483494422088e-05	0.000731414576623284
Melatonin_233.1	Faith_pd	Faith_pd	1.25043078872775	0.28187166155866	249	176	1.72447339203864e-05	0.000731414576623284
X4.Pyridoxate_184.1	Faith_pd	Faith_pd	0.413023929964557	0.0935456959188372	249	249	1.79270368238841e-05	0.00073500850977925
Quinoline_130.1	Faith_pd	Faith_pd	0.565100902916359	0.128677342793667	249	78	1.96562681677578e-05	0.000779909995043294
Serotonin_177.1	Faith_pd	Faith_pd	0.958882085329546	0.22057716142549	249	206	2.5593835244319e-05	0.000983763042203511
X3.Methoxytyrosine_210.1	Faith_pd	Faith_pd	0.266208963251921	0.0621853813684055	249	249	3.15749783221516e-05	0.00117688555564383
Fructose_179.1	Faith_pd	Faith_pd	-0.372287813168298	0.0874852297026069	249	249	3.31732283191699e-05	0.00120009031860527
X4.Aminobenzoate_136	Faith_pd	Faith_pd	0.395452169008205	0.0925303631156166	249	249	3.51518206489128e-05	0.0012331864918408
methyl.lysine_161.1	Faith_pd	Faith_pd	-0.581545394577793	0.136721152788016	249	243	3.60932631758282e-05	0.0012331864918408
N.Acetylserotonin_219.1	Faith_pd	Faith_pd	0.824096471172261	0.194996144128029	249	210	4.29457661975348e-05	0.0014276565519721
Protoporphyrin_563.3	Faith_pd	Faith_pd	0.913865670908556	0.214669874034989	249	102	4.41589421446219e-05	0.00142935523257592
Tridecanoic.acid_213.2	Faith_pd	Faith_pd	0.280286397050549	0.0672394218576178	249	249	5.5130786967392e-05	0.00173874020435621
Heptanoic.acid_129.1	Faith_pd	Faith_pd	0.371978554259965	0.0906508062119687	249	249	6.43945043623091e-05	0.00198013100914101
Indoxyl.Glucoside_294.1	Faith_pd	Faith_pd	0.468592109031746	0.113819740930006	249	232	6.86328049747447e-05	0.00205898414924234
Creatine_132.1	Faith_pd	Faith_pd	-0.871220361240805	0.21370771797997	249	249	7.13573749180784e-05	0.00208975169402944
N.Acetylmethionine_192.1	Faith_pd	Faith_pd	0.357631243474582	0.0877390440502421	249	248	7.51976620163051e-05	0.00215100289023384
cis.7.10.13.16.Docosatetraenoic.acid_331.3	Faith_pd	Faith_pd	-1.00972387548545	0.247713448784207	249	136	7.8273264590896e-05	0.00218809353288187
Proline_116.1	Faith_pd	Faith_pd	-0.462224697983164	0.114188658343435	249	249	8.05236238656602e-05	0.00220097905232805
Docosahexaenoic.acid_327.2	Faith_pd	Faith_pd	-0.843927741226482	0.208930165029677	249	123	9.19901417857641e-05	0.00245973639992369
cis.11.Eicosenoic.acid_309.3	Faith_pd	Faith_pd	0.377135582849201	0.0936945512360715	249	249	9.83332128579258e-05	0.0025734011024521
Thiamine_265.1	Faith_pd	Faith_pd	0.735905157198975	0.184945284380862	249	241	0.000111040052846604	0.00284540135419422
trans.trans.Muconic.acid_141	Faith_pd	Faith_pd	0.20542389050659	0.0506970369251138	249	249	0.000129678304980896	0.0032551901046225
N.Acetylalanine_130.1	Faith_pd	Faith_pd	-0.2368964912661	0.0602777264607209	249	249	0.000143513288388016	0.0035304268943452
Methyl.Vanillate_181.1	Faith_pd	Faith_pd	0.277251730165837	0.0711016217401714	249	249	0.00015923778327318	0.00383760799105264
Oleic.acid_281.2	Faith_pd	Faith_pd	0.378484850260849	0.0981244696518353	249	249	0.000165360344329911	0.00383760799105264
Succinyladenosine_384.1	Faith_pd	Faith_pd	-0.664783140705601	0.171826460503725	249	89	0.000164600554832383	0.00383760799105264
GABA_104.1	Faith_pd	Faith_pd	-0.355350263029906	0.091056163313588	249	249	0.000182281185587158	0.00397448969900017
Hippurate_178.1	Faith_pd	Faith_pd	0.647066593658271	0.169189038694555	249	247	0.000184183668978057	0.00397448969900017
Octanoic.acid_143.1	Faith_pd	Faith_pd	0.303744886958354	0.0786098407094704	249	249	0.000177372846146218	0.00397448969900017
Salicylate_137	Faith_pd	Faith_pd	0.27088963831807	0.070086932205417	249	249	0.000181543021782566	0.00397448969900017
Mannitol_181.1	Faith_pd	Faith_pd	-0.382361088578858	0.100037582906113	249	249	0.000191132039978844	0.00404909063304059
N.Acetylglutamate_190.1	Faith_pd	Faith_pd	0.367989048488195	0.0969297612619659	249	249	0.000198118572611497	0.00404909063304059
Pentadecanoic.acid_241.2	Faith_pd	Faith_pd	0.322517955361754	0.0849318941700986	249	249	0.000199828391968628	0.00404909063304059
Succinic.Acid_117	Faith_pd	Faith_pd	-0.526282316529179	0.138620855617475	249	249	0.00020080855984998	0.00404909063304059
X5.Hydroxymethyluracil_141	Faith_pd	Faith_pd	0.355573742079619	0.0934177072794037	249	200	0.000217728325810438	0.00431944904430385
X2.Aminoisobutyrate_104.1	Faith_pd	Faith_pd	-0.229121293250198	0.0600548401353749	249	249	0.000222925097630497	0.00435234714421446
Mevalolactone_131.1	Faith_pd	Faith_pd	0.309959099721634	0.0820600859251091	249	249	0.0002277284127125	0.00437665543181836
Decanoic.acid_171.1	Faith_pd	Faith_pd	0.279479832989355	0.073649486182652	249	249	0.000234943949704911	0.0043787564871865
Methyl.4.Aminobutyrate_118.1	Faith_pd	Faith_pd	0.252256780372785	0.066419661229138	249	249	0.000234957665166105	0.0043787564871865
Raffinose_503.2	Faith_pd	Faith_pd	-0.469026963652879	0.125497287397934	249	248	0.000253321631062588	0.00458214126774976
Ricinoleic.acid_297.2	Faith_pd	Faith_pd	0.360276796460771	0.0961105677578638	249	249	0.000251891672472229	0.00458214126774976
Histamine_112.1	Faith_pd	Faith_pd	-0.519532880020475	0.13944671303971	249	249	0.000258509003714712	0.00460820397926226
Pentanoate_101.1	Faith_pd	Faith_pd	0.37397767014878	0.101117037472006	249	249	0.00028657571335435	0.00503554467751214
Methyl.Jasmonate_225.1	Age	Age	-0.405991638552459	0.103396318281617	249	234	0.000300315102298375	0.00520264191305636
Dodecanoic.acid_199.2	Faith_pd	Faith_pd	0.347958535404569	0.0933824316209657	249	249	0.000305430373923173	0.00521776888785421
Trans.4.Hydroxy.L.Proline_132.1	Faith_pd	Faith_pd	-0.244988060276382	0.0656302796440198	249	248	0.000330029824041765	0.00556077648727906
X5.Methylcytosine_126.1	Faith_pd	Faith_pd	-0.662881837225847	0.181422297815822	249	150	0.000371477774438769	0.00617456300756333
Valine_118.1	Faith_pd	Faith_pd	-0.358451486884441	0.0986527942465903	249	249	0.000385348001481887	0.00631970722430295
X2.4.Dihydroxypteridine_163	Faith_pd	Faith_pd	0.304314644221669	0.0825034071287803	249	234	0.000394420890670604	0.00633916241244541
Phenylacetaldehyde_119.1	Faith_pd	Faith_pd	-0.874390614998283	0.240825490030334	249	190	0.000396841874600241	0.00633916241244541
Lithocholate_375.3	Faith_pd	Faith_pd	0.673609433178438	0.188349945807473	249	235	0.000444004930170552	0.00700161620653563
Taurine_124	Faith_pd	Faith_pd	-0.94811887633992	0.26553257766611	249	246	0.000455070818362264	0.00708527983019728
Diethyl.2.Methyl.3.Oxosuccinate_201.1	Faith_pd	Faith_pd	0.274220492604082	0.076654975921011	249	249	0.00047377876543912	0.00728434851862646
Arachidic.acid_311.3	Faith_pd	Faith_pd	0.366728683293921	0.102780308663092	249	249	0.000562352005480012	0.00853941934247425
Acetoacetate_101	Faith_pd	Faith_pd	0.216308991078173	0.0613969986740037	249	249	0.000604184182153459	0.00906276273230188
X10.HAD_185.1	Faith_pd	Faith_pd	0.27467169530992	0.0784184903766727	249	248	0.000641272183659246	0.00906626190690658
Maleamate_114	Faith_pd	Faith_pd	0.224470152575509	0.0636098582682118	249	248	0.000615283919893211	0.00906626190690658
Maleate_115	Faith_pd	Faith_pd	0.255755435215933	0.0727001645820177	249	249	0.000635715810006603	0.00906626190690658
Shikimate_173	Faith_pd	Faith_pd	0.445549776441436	0.1281619208977	249	249	0.000634103238749265	0.00906626190690658
Stachyose_665.2	Faith_pd	Faith_pd	-0.710308996380727	0.203616468279168	249	160	0.000623007500393968	0.00906626190690658
Histidine_156.1	Faith_pd	Faith_pd	-0.463333055688588	0.133681297558691	249	249	0.000653917391336281	0.00913998171981392
Phenylalanine_166.1	Faith_pd	Faith_pd	-0.443100129602742	0.12850049373429	249	249	0.000705730973397955	0.00975336064358972
X10.Hydroxydecanoic.acid_187.1	Faith_pd	Faith_pd	0.301953637376955	0.0871127295995191	249	244	0.000715296586132817	0.00977572001048184
Undecanoic.acid_185.2	Faith_pd	Faith_pd	0.282996299672057	0.0817782706972811	249	249	0.000764861272939589	0.0103382347880846
Trehalose_341.1	Faith_pd	Faith_pd	-0.383402239155688	0.112044145218158	249	249	0.000779966569904481	0.010427813923723
X3..2.Hydroxyphenyl.Propanoate_165.1	Faith_pd	Faith_pd	-0.227316176648271	0.066443340546855	249	249	0.000882985193247028	0.0115539551882324
P.Octopamine_154.1	Faith_pd	Faith_pd	0.171413907833479	0.0497856863346748	249	249	0.000881961653090478	0.0115539551882324
X5.Valerolactone_101.1	Faith_pd	Faith_pd	0.275991037887422	0.0820668025353714	249	249	0.000942719583951939	0.0121694112403995
Dimethylglycine_104.1	Faith_pd	Faith_pd	0.178941723202861	0.0522120317744854	249	249	0.000949807706567768	0.0121694112403995
